Gurobi shell based on Python 3.13.1 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.13.1 with 'import gurobipy'
/var/spool/slurm/slurmd/job21007463/slurm_script: line 24: activate: No such file or directory
Branches Stage 2: 2, Stage 3: 2 | Mean: 1.63s ± 0.10
Branches Stage 2: 2, Stage 3: 4 | Mean: 2.46s ± 0.17
Branches Stage 2: 2, Stage 3: 6 | Mean: 28.08s ± 9.63
Branches Stage 2: 2, Stage 3: 8 | Mean: 7.81s ± 1.02
Branches Stage 2: 4, Stage 3: 2 | Mean: 7.35s ± 1.29
Branches Stage 2: 4, Stage 3: 4 | Mean: 21.89s ± 9.38
Branches Stage 2: 4, Stage 3: 6 | Mean: 91.88s ± 48.63
Branches Stage 2: 4, Stage 3: 8 | Mean: 89.83s ± 66.71
Branches Stage 2: 6, Stage 3: 2 | Mean: 14.15s ± 4.03
Branches Stage 2: 6, Stage 3: 4 | Mean: 21.43s ± 3.86
Branches Stage 2: 6, Stage 3: 6 | Mean: 152.90s ± 35.53
Branches Stage 2: 6, Stage 3: 8 | Mean: 78.71s ± 18.86
Branches Stage 2: 8, Stage 3: 2 | Mean: 23.66s ± 8.78
Branches Stage 2: 8, Stage 3: 4 | Mean: 97.28s ± 35.91
Branches Stage 2: 8, Stage 3: 6 | Mean: 449.56s ± 249.78
Branches Stage 2: 8, Stage 3: 8 | Mean: 1200.31s ± 423.68
Saved to "$FIG_PATH"/branch_solve_times.csv
Cutting Planes In: 0, Cutting Planes Out: 0, Solve Time: 0.6982338428497314 seconds
Cutting Planes In: 0, Cutting Planes Out: 2, Solve Time: 0.6844475269317627 seconds
Cutting Planes In: 0, Cutting Planes Out: 4, Solve Time: 0.8316166400909424 seconds
Cutting Planes In: 0, Cutting Planes Out: 6, Solve Time: 0.9001328945159912 seconds
Cutting Planes In: 0, Cutting Planes Out: 8, Solve Time: 0.692035436630249 seconds
Cutting Planes In: 0, Cutting Planes Out: 10, Solve Time: 0.7848043441772461 seconds
Cutting Planes In: 0, Cutting Planes Out: 12, Solve Time: 0.6835086345672607 seconds
Cutting Planes In: 0, Cutting Planes Out: 14, Solve Time: 0.7969944477081299 seconds
Cutting Planes In: 0, Cutting Planes Out: 16, Solve Time: 0.6959025859832764 seconds
Cutting Planes In: 0, Cutting Planes Out: 18, Solve Time: 0.7206072807312012 seconds
Cutting Planes In: 0, Cutting Planes Out: 20, Solve Time: 0.6941859722137451 seconds
Cutting Planes In: 2, Cutting Planes Out: 0, Solve Time: 0.8977096080780029 seconds
Cutting Planes In: 2, Cutting Planes Out: 2, Solve Time: 1.0290336608886719 seconds
Cutting Planes In: 2, Cutting Planes Out: 4, Solve Time: 2.8222031593322754 seconds
Cutting Planes In: 2, Cutting Planes Out: 6, Solve Time: 4.82733416557312 seconds
