m_2,m_3,mean,stderr
2,2,1.5328933238983153,0.10234658389691839
2,4,10.271064400672913,3.1372854518206963
2,6,6.812179708480835,1.576823509009744
2,8,22.173820209503173,5.105731302245847
4,2,8.807648253440856,2.9411969060225176
4,4,35.38868265151977,12.103928408929312
4,6,75.61457898616791,27.095130545694026
4,8,99.7223751783371,42.593517865055816
6,2,12.455423831939697,2.7659072275543983
6,4,62.89109432697296,14.430863428660473
6,6,122.36420085430146,41.60012146329521
6,8,830.6133067131043,371.5490227735807
8,2,14.808175039291381,1.5512342341523215
8,4,136.9403802871704,39.767582228510435
8,6,319.8924013376236,62.75710819354355
8,8,514.5771981716156,106.28967056109742
