run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,EV_PI_cond,EVPI_cond,VSS,VSS_pct
0,0.0,0.1,4,4,21798933.17514614,20390479.467201658,21725250.625630863,21818343.117184732,19409.94203859195,21814254.941238455,15321.766092315316,73682.54951527715,0.3380098875631476
1,0.0,0.1,4,4,21089800.759160146,20390479.467201658,20997655.3925721,21121522.26880291,31721.509642764926,21120571.90312784,30771.143967695534,92145.36658804491,0.4369190948758607
2,0.0,0.1,4,4,21188739.122182064,20390479.467201658,21068643.132595155,21215854.13836457,27115.016182504594,21213913.47680569,25174.354623626918,120095.98958690837,0.5667915815773215
3,0.0,0.1,4,4,20063094.281926338,20390479.467201658,19967474.56424166,20094162.43247107,31068.15054473281,20095008.306029662,31914.02410332486,95619.71768467873,0.47659506724651596
4,0.0,0.1,4,4,22004125.17510357,20390479.467201658,21907208.621950828,22029162.654566918,25037.479463346303,22028851.08158019,24725.906476620585,96916.55315274373,0.4404471997023511
5,0.0,0.1,4,4,21880215.0511733,20390479.467201658,21800078.264107745,21892252.074867085,12037.023693785071,21893452.85558609,13237.804412789643,80136.78706555441,0.3662522826129955
6,0.0,0.1,4,4,21238932.279561203,20390479.467201658,21137650.99022806,21251619.13203132,12686.852470118552,21251054.313757684,12122.034196481109,101281.28933314234,0.4768662002402449
7,0.0,0.1,4,4,21569053.0794128,20390479.467201658,21462219.829720847,21598352.981509622,29299.902096822858,21599317.470858403,30264.39144560322,106833.24969195202,0.495308019775435
8,0.0,0.1,4,4,21286385.215197943,20390479.467201658,21252837.464399833,21309403.304146715,23018.088948771358,21309240.270250786,22855.055052842945,33547.75079810992,0.1576019153038613
9,0.0,0.1,4,4,21599991.814643435,20390479.467201658,21528216.425870735,21610969.366180915,10977.551537480205,21607545.14476548,7553.330122046173,71775.38877269998,0.33229359246349705
