run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,EV_PI_cond,EVPI_cond,VSS,VSS_pct
0,30.0,0.0,4,2,21775301.00324111,20390479.467201658,21695685.071414556,21785728.4534009,10427.450159788132,21780844.97258572,5543.969344608486,79615.93182655424,0.3656249427491447
1,30.0,0.0,4,2,21092249.49972298,20390479.467201658,21006603.712440845,21122300.279944383,30050.780221402645,21121618.762355577,29369.262632597238,85645.78728213534,0.406053357576963
2,30.0,0.0,4,2,21201702.31474907,20390479.467201658,21109576.315524727,21241514.8190951,39812.504346031696,21241514.819095172,39812.504346102476,92125.9992243424,0.434521708949071
3,30.0,0.0,4,2,20032039.007870108,20390479.467201658,19937056.34914959,20039004.882464204,6965.874594096094,20034753.587618727,2714.579748619348,94982.6587205194,0.4741537228596798
4,30.0,0.0,4,2,22003057.215418343,20390479.467201658,21890858.09461471,22004884.192186963,1826.9767686203122,22012321.46728114,9264.251862797886,112199.12080363184,0.5099251422434599
5,30.0,0.0,4,2,21771876.838296067,20390479.467201658,21672138.43484112,21779013.348249584,7136.509953517467,21778534.499688104,6657.661392036825,99738.40345494822,0.4581065940971676
6,30.0,0.0,4,2,21334481.238029122,20390479.467201658,21231698.963438522,21341272.215503342,6790.977474220097,21345068.063564297,10586.82553517446,102782.27459060028,0.4817659892633757
7,30.0,0.0,4,2,21590695.767350152,20390479.467201658,21501609.428720083,21634309.796482068,43614.02913191542,21632047.39920979,41351.6318596378,89086.33863006905,0.41261448723105554
8,30.0,0.0,4,2,21271210.67437501,20390479.467201658,21226857.645557273,21279685.037571687,8474.36319667846,21276306.05162773,5095.377252720296,44353.02881773561,0.20851200947939835
9,30.0,0.0,4,2,21470663.878224522,20390479.467201658,21417940.05717275,21486374.856343128,15710.978118605912,21484420.940803222,13757.062578700483,52723.821051772684,0.2455621370201087
