run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,VSS,VSS_pct,rp_avg_h2,rp_worst_scenario,rp_stage1_entry,eev_avg_h2,eev_worst_scenario
0,45.0,1.0,4,8,21880295.405354463,20424633.937798895,21801496.514212314,21918084.260681238,37788.85532677546,78798.89114214852,0.36013632212143337,4.0599546832939115,20170275.334162585,75.290177566597,3.6310863216125813,19860987.096290853
1,45.0,1.0,4,8,21217318.41965935,20424633.937798895,21136890.256125793,21252491.314813428,35172.89515407756,80428.1635335572,0.3790684663479189,2.2974024986974872,18794820.492327686,75.73972602739725,2.8111564804170914,18807815.81528
2,45.0,1.0,4,8,21335482.7262967,20424633.937798895,21246186.362739176,21357488.435965456,22005.70966875553,89296.36355752498,0.4185345356515614,5.119082074516825,18856365.454042174,75.73972602739761,5.062336774397831,18771188.36225136
3,45.0,1.0,4,8,20100698.165630605,20424633.937798895,20004574.899948135,20134858.93774384,34160.772113233805,96123.26568247005,0.47820859201212945,3.333626350609373,18852262.937867884,75.73972602739724,3.1394483467829,18717598.324926633
4,45.0,1.0,4,8,22134783.53420247,20424633.937798895,22031726.537147537,22151346.786467705,16563.252265233546,103056.9970549345,0.4655884567187736,3.48753300963314,20066402.95584924,76.46102677820512,3.711789822969865,19886825.030004352
5,45.0,1.0,4,8,21883832.703079753,20424633.937798895,21792830.69702501,21906343.03694086,22510.33386110887,91002.00605474412,0.415841261855092,3.4763658253049963,20813307.628492795,75.73972602739725,3.757200362582396,20819280.38663529
6,45.0,1.0,4,8,21368719.30531063,20424633.937798895,21283776.22183473,21388974.759980634,20255.454670004547,84943.08347589895,0.3975113447944847,4.0203521580002475,20812893.29468789,75.36343775943033,4.014027789227288,20700497.18683078
7,45.0,1.0,4,8,21678140.787485436,20424633.937798895,21543420.082796838,21690139.865762644,11999.078277207911,134720.70468859747,0.621458758891216,3.816365492980238,20379419.995245315,74.96776939545872,3.985532704437631,20209313.003266532
8,45.0,1.0,4,8,21322784.264867835,20424633.937798895,21282973.599113002,21336046.646254085,13262.381386250257,39810.66575483233,0.18670481894067548,2.686957720901278,19709251.427178506,78.73972602739725,2.596115053987499,19712579.962695114
9,45.0,1.0,4,8,21682359.362413727,20424633.937798895,21606669.41047444,21700240.217089735,17880.854676008224,75689.95193928853,0.3490854047484183,5.837411236805079,20164956.097705163,75.73972602737926,5.353496690685523,20115193.2225015
