run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,VSS,VSS_pct,rp_avg_h2,rp_worst_scenario,rp_stage1_entry,eev_avg_h2,eev_worst_scenario
0,70.0,0.0,8,8,21058149.387817442,20565692.625499967,20965012.85154016,21078092.815595914,19943.42777847126,93136.53627728298,0.4422826268445238,2.1406760824400033,19504193.48996836,75.35443864291814,2.1631442712774263,19319546.487366863
1,70.0,0.0,8,8,21548048.940044694,20565692.625499967,21474334.95474893,21568885.194122437,20836.25407774374,73713.9852957651,0.3420912283096579,2.1759862871992572,20430978.310100205,76.37398748901742,2.1766642742668383,20350055.257036142
2,70.0,0.0,8,8,21220702.492441,20565692.625499967,21099189.490436736,21228724.914608214,8022.422167215496,121513.00200426206,0.5726153601538218,2.324340551962224,19659014.447027247,75.73972602739725,2.3382928510636347,19522359.843115874
3,70.0,0.0,8,8,21675316.810242485,20565692.625499967,21574850.788190577,21693327.94356771,18011.133325226605,100466.02205190808,0.4635042843038572,2.0549794152377223,19809975.239024,75.7269635210866,2.018406376363839,19700089.84670139
4,70.0,0.0,8,8,21816781.204456948,20565692.625499967,21750663.347966492,21829613.94219189,12832.737734943628,66117.85649045557,0.30305963043232226,2.2339116255397333,20130826.031559374,75.73972602739725,2.2408530772839894,20060512.328539208
5,70.0,0.0,8,8,21955721.18478278,20565692.625499967,21882492.124256328,21971302.890997816,15581.70621503517,73229.06052645296,0.33353065431167456,2.2418096386056274,20497831.87386103,75.22996842984993,2.2638344743079952,20363819.118444342
6,70.0,0.0,8,8,21918157.344355512,20565692.625499967,21841912.709340848,21935356.20202585,17198.85767033696,76244.63501466438,0.34786060623978193,2.2087484679900395,21000522.436363876,75.51190774133472,2.202452230315334,20865051.488660052
7,70.0,0.0,8,8,21564088.976972483,20565692.625499967,21473493.90892697,21574762.324666295,10673.347693812102,90595.06804551184,0.4201200808541231,2.1961415968535576,20022423.146978915,75.73972602739725,2.2283539887463704,20036669.97110238
8,70.0,0.0,8,8,21828389.080352228,20565692.625499967,21759047.471024908,21844303.41944824,15914.339096013457,69341.60932732001,0.3176670943149649,2.049977230126757,19899627.672911752,75.31189260457897,2.0873657149428544,19793698.156117436
9,70.0,0.0,8,8,21222693.07105191,20565692.625499967,21157012.475201923,21229581.561339736,6888.490287825465,65680.59584998712,0.30948285229444555,2.1487493958285704,19717318.248122707,75.73972602739725,2.1568248947059767,19671035.092755012
