run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,VSS,VSS_pct,rp_avg_h2,rp_worst_scenario,rp_stage1_entry,eev_avg_h2,eev_worst_scenario
0,0.0,0.2,2,8,21815088.463272583,20390479.467201658,21819409.781422373,21834126.568630412,19038.10535782948,-4321.318149790168,-0.019808849994192995,0.0,21090210.777260683,73.73972602739725,0.0,21040879.87893856
1,0.0,0.2,2,8,21136827.432831123,20390479.467201658,21060101.204453528,21157469.953710917,20642.520879793912,76726.22837759554,0.36299784639590366,0.0,20220574.989113197,73.3739874890067,0.0,20161126.50546175
2,0.0,0.2,2,8,20394259.512221508,20390479.467201658,20299142.944084514,20432742.64143451,38483.12921300158,95116.5681369938,0.46638892713900226,0.0,19295101.335086286,71.87349282408124,0.0,19628306.957114253
3,0.0,0.2,2,8,22130117.694749318,20390479.467201658,22084508.577640314,22133765.583453525,3647.8887042067945,45609.11710900441,0.20609523066307872,0.0,21715287.292449143,73.73972602739725,0.0,21620420.25576105
4,0.0,0.2,2,8,21172530.454797555,20390479.467201658,21090257.695610262,21186620.197657753,14089.742860198021,82272.75918729231,0.3885825521089277,0.0,20847592.744855415,73.73972602739725,0.0,20823391.692409527
5,0.0,0.2,2,8,21082585.500925977,20390479.467201658,20982914.34526982,21101822.504964463,19237.00403848663,99671.1556561552,0.4727653335108139,0.0,19209784.58733608,73.64793728531046,0.0,19098393.315031618
6,0.0,0.2,2,8,21589435.973286893,20390479.467201658,21456369.52327644,21600962.94222802,11526.968941126019,133066.45001045242,0.61634982115836,0.0,21092899.257097814,73.73972602739725,0.0,20900729.398640603
7,0.0,0.2,2,8,22070563.04821989,20390479.467201658,21974708.10085767,22089060.89337939,18497.845159500837,95854.94736221805,0.43431129125611173,0.0,20918457.269911606,73.22669111196728,0.0,20918469.89481819
8,0.0,0.2,2,8,20298710.22039066,20390479.467201658,20253214.54494454,20325680.697556335,26970.477165676653,45495.67544611916,0.2241308681790895,0.0,19547107.20695305,73.08377176915842,0.0,19546339.532273386
9,0.0,0.2,2,8,22483135.50630527,20390479.467201658,22403674.34652965,22490544.27387663,7408.767571359873,79461.15977561846,0.35342561429358477,0.0,21819500.23996942,73.73972602739725,0.0,21723970.344959315
