run,subsidy,deviation,branches_s2,branches_s3,RP,EV,EEV,EV_PI,EVPI,VSS,VSS_pct,rp_avg_h2,rp_worst_scenario,rp_stage1_entry,eev_avg_h2,eev_worst_scenario
0,0.0,0.0,8,4,20870933.81041268,20390479.467201658,20779566.68591275,20893975.226133537,23041.41572085768,91367.1244999282,0.437772096495004,0.0,19444358.981573664,73.25569212916304,0.00493997835308934,19385269.23176138
1,0.0,0.0,8,4,21357880.513424393,20390479.467201658,21265649.020685323,21376971.80282734,19091.28940294683,92231.4927390702,0.43183822796039406,0.0,20239034.917162254,73.3739874890067,0.0,20162457.117668875
2,0.0,0.0,8,4,20957230.91939416,20390479.467201658,20840754.336016767,20983153.4973558,25922.57796163857,116476.58337739483,0.5557823160196489,0.0058837585274928985,19436058.44456692,74.94259794528922,0.0,19303998.962402955
3,0.0,0.0,8,4,21510636.216575194,20390479.467201658,21407764.452565514,21524170.39535683,13534.17878163606,102871.7640096806,0.4782367335579406,0.0,19713796.06818416,73.72696352108619,0.0,19603776.81621347
4,0.0,0.0,8,4,21585058.93161222,20390479.467201658,21510450.111128666,21610303.812441062,25244.88082884252,74608.82048355415,0.345650297828404,0.0,19893724.01620552,74.68185422273723,0.0,19813066.324682236
5,0.0,0.0,8,4,21746886.356268626,20390479.467201658,21664515.623675592,21755427.71176651,8541.355497885495,82370.73259303346,0.3787702351665151,0.0,20400999.61470582,73.595752614383,0.0,20241053.21725096
6,0.0,0.0,8,4,21742178.96925878,20390479.467201658,21662262.722058985,21760631.85345728,18452.88419849798,79916.24719979614,0.3675631927820553,0.0,20580448.438774835,75.51190774131904,0.0,20687989.548008375
7,0.0,0.0,8,4,21342275.275581885,20390479.467201658,21232295.769294653,21350556.95489826,8281.679316375405,109979.50628723204,0.5153129404766967,0.0,19881938.708306726,74.73972602739725,0.0,19889772.011124693
8,0.0,0.0,8,4,21657904.027767874,20390479.467201658,21581774.554286472,21679459.896455802,21555.868687927723,76129.4734814018,0.35150896127250003,0.0,19672968.83281699,73.31189260457896,0.0,19756269.77432631
9,0.0,0.0,8,4,21057371.38254259,20390479.467201658,20983928.39066444,21069138.29079538,11766.908252786845,73442.9918781519,0.3487756878289143,0.0,19606435.813652195,73.73972602739725,0.0,19516898.964664336
